locus_chr	locus_start	locus_end	locus_name	locus_ngene	locus_width	locus_pheno	locus_mindistgene	locus_nspecialgene	locus_ninteractiongene	locus_hisig_type	gene_start	gene_end	gene_tss	gene_strand	gene_locusdist_kbp	gene_closestsnp	gene_name	gene_type	gene_prob_selected	gene_signet	gene_mindist	gene_special	gene_signet+	distance_score	special_score	ppi_score	TF_score	exp_score	gene_hisig_type	ppi_deg	ppi_deg_active_cnt	ppi_deg_active_names	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	AFib_pops_score	Cardio_pops_score
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2050411	2185395	2050411	+	222.94	rs4648819	PRKCZ	protein_coding	0.0	.	.	.	.	-14.064638043400128	0.0	94.39000302003744	1.9097011416987888	0.0486646324697129	poorsig	22	6	CAVIN2;CREBBP;FAT1:coloc;NSRP1;PRKCA:coloc;STK38	0	0	.	0	0	.	0.0145246546335063	0.1632743842141667
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2184461	2212720	2212720	-	60.631	rs4648819	FAAP20	protein_coding	0.0	.	.	.	.	-13.062820113339798	0.0	94.36323405513151	1.9097011416987888	0.1290243954829994	poorsig	1	0		0	0	.	0	0	.		
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2228319	2310213	2228319	+	45.032	rs4648819	SKI	protein_coding	0.96	signet	mindist	coloc	signet+	-12.96653858926528	2.054985245702309	92.62578740549957	1.9097011416987888	0.1951603676721756	coloc	13	2	ATP2A2;STK38	0	0	.	0	0	.	0.4534609841228989	0.6619022528606893
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2321253	2391707	2391707	-	118.356	rs4648819	MORN1	protein_coding	0.0	.	.	.	.	-13.419115451323105	0.0	94.92323125471955	1.9097011416987888	0.1581752127969715	poorsig	0	0		0	0	.	0	0	.	-0.0612189416666907	0.1432936165633117
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2391775	2405442	2391775	+	118.424	rs4648819	RER1	protein_coding	0.0	.	.	.	.	-13.419535166922634	0.0	94.17981342042252	1.9097011416987888	0.0751785394416315	poorsig	5	1	PMP22	0	0	.	0	0	.	0.0081104639677449	0.015364068616915
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2403964	2413797	2413797	-	140.446	rs4648819	PEX10	protein_coding	0.04	.	.	.	.	-13.555461298288046	0.0	95.57854330813564	1.9097011416987888	0.2657801775161212	poorsig	1	1	SCN3B:omim	0	0	.	0	0	.	0.3199759013360434	0.1561583256402662
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2425980	2505532	2425980	+	152.629	rs4648819	PLCH2	protein_coding	0.0	.	.	.	.	-13.630658285774414	0.0	94.92323125471955	1.9097011416987888	0.1280166746203876	poorsig	0	0		0	0	.	0	0	.	0.1952198355845695	-0.1535271602584575
1	3342619	3611508	rs6683273	2	268.889	QRS	ARHGEF16	0.0	2.0	poorsig	3454665	3481113	3454665	+	112.046	rs6683273	ARHGEF16	protein_coding	0.24	.	mindist	.	.	-13.380168312602018	0.0	95.57854330813564	1.9097011416987888	0.7028679553102894	mindist	2	1	GBF1	0	0	.	0	0	.	0.1339885999285308	-0.0040743585025669
1	3342619	3611508	rs6683273	2	268.889	QRS	ARHGEF16	0.0	2.0	poorsig	3487951	3611508	3487951	+	145.332	rs6683273	MEGF6	protein_coding	0.76	signet	.	.	signet+	-13.585619098571916	0.0	94.92300168513576	1.9097011416987888	0.2971320446897105	poorsig	1	0		0	0	.	0	0	.	-0.1708768760606688	-0.1923713706176496
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	QT	RPL22	1.0	8.0	exome	5862811	5992473	5862811	+	226.251	rs2273042	NPHP4	protein_coding	0.0	.	.	.	.	-14.085074489724295	0.0	94.5665489278606	1.9097011416987888	0.0016990398798114	poorsig	17	5	CDH2;MRTFB;NACA:exome;OBSCN;TTN:exome	0	0	.	0	0	.	-0.2371285760702263	0.1999469608772284
